Date,Open,High,Low,Close,Volume
2017-01-31,33.02,33.18,31.8,32.34,5044632
2017-02-01,32.66,32.74,31.65,31.81,4763024
2017-02-02,31.73,32.92,31.12,32.78,4969442
2017-02-03,32.59,33.5,32.37,33.47,4602078
2017-02-06,34.01,34.93,33.8,33.91,3961754
2017-02-07,33.97,34.17,32.78,33.15,3213457
2017-02-08,32.88,33.35,32.11,32.89,2414349
2017-02-09,33.32,33.94,33.09,33.81,2343292
2017-02-10,33.82,34.09,33.08,33.14,3026181
2017-02-13,33.08,33.14,32.5,32.53,2905974
2017-02-14,32.61,32.84,32.32,32.81,3763608
2017-02-15,32.7,33.57,32.63,33.0,2831219
2017-02-16,32.98,33.07,31.0,31.24,6373353
2017-02-17,31.0,31.63,30.78,31.27,6475164
2017-02-21,30.79,31.21,30.3,30.42,6028278
2017-02-22,30.18,30.62,29.87,29.93,4833895
2017-02-23,30.65,30.65,27.92,28.94,9226936
2017-02-24,28.74,28.8,27.25,27.64,6974621
2017-02-27,27.58,28.21,27.26,27.72,4424170
2017-02-28,27.65,27.75,27.07,27.62,3751626
2017-03-01,27.84,28.24,27.54,27.93,3850113
2017-03-02,27.72,27.93,27.24,27.47,3830470
2017-03-03,27.66,27.9,27.26,27.34,2986354
2017-03-06,28.96,28.96,27.79,28.47,5742579
2017-03-07,28.38,28.48,27.65,27.91,5950477
2017-03-08,27.93,28.36,27.5,27.54,6630372
2017-03-09,27.5,27.96,26.7,27.8,7608473
2017-03-10,28.12,28.39,27.42,27.53,5972290
2017-03-13,27.61,28.19,27.33,28.08,5311837
2017-03-14,27.73,27.76,27.08,27.45,3953047
2017-03-15,27.71,28.25,27.28,28.1,3707443
2017-03-16,28.04,28.18,27.5,27.69,4205069
2017-03-17,27.86,27.96,27.38,27.51,4841089
2017-03-20,27.39,27.8,27.08,27.72,4970925
2017-03-21,27.86,28.1,27.33,27.42,4646698
2017-03-22,27.2,27.38,26.61,26.8,4102892
2017-03-23,26.95,27.41,26.71,27.23,3771347
2017-03-24,27.23,27.85,27.0,27.68,4379818
2017-03-27,27.3,27.9,27.21,27.82,3410540
2017-03-28,27.94,28.24,27.44,27.79,5676355
2017-03-29,28.0,28.96,27.92,28.95,6163344
2017-03-30,29.24,29.48,28.6,28.61,8423111
2017-03-31,28.88,29.7,28.65,29.1,5958891
2017-04-03,29.07,29.22,28.2,28.57,4863452
2017-04-04,28.97,29.79,28.7,29.76,5869636
2017-04-05,30.15,30.3,29.15,29.4,6734969
2017-04-06,29.58,29.92,29.43,29.9,4323863
2017-04-07,29.87,30.0,29.44,29.47,3442809
2017-04-10,29.55,29.95,29.4,29.88,2659226
2017-04-11,29.86,29.95,29.0,29.4,3311988
2017-04-12,29.35,29.75,28.5,28.54,5038793
2017-04-13,28.62,28.68,27.66,27.77,5942097
2017-04-17,27.74,28.04,27.42,27.87,5868319
2017-04-18,27.57,27.97,27.29,27.42,4301979
2017-04-19,27.73,28.14,27.22,27.34,5306959
2017-04-20,27.41,27.92,27.2,27.61,3418484
2017-04-21,27.5,27.78,27.24,27.47,3772655
2017-04-24,27.6,27.69,27.19,27.23,5516243
2017-04-25,27.15,27.68,26.24,27.56,12785671
2017-04-26,27.61,28.76,27.42,27.61,6799009
2017-04-27,27.28,27.65,26.86,27.35,6693354
2017-04-28,27.78,27.93,26.43,26.49,7576207
2017-05-01,26.44,26.7,26.2,26.53,3829525
2017-05-02,26.5,26.98,26.31,26.53,4085248
2017-05-03,26.46,26.48,25.9,26.02,4610339
2017-05-04,25.74,25.78,24.67,25.47,8411555
2017-05-05,25.58,26.28,25.32,26.22,6311430
2017-05-08,26.07,26.22,25.46,25.82,3433011
2017-05-09,25.92,25.97,25.1,25.13,5905204
2017-05-10,25.45,26.0,25.23,25.49,4722868
2017-05-11,25.89,25.89,25.08,25.44,4831187
2017-05-12,25.39,25.68,25.28,25.61,3379643
2017-05-15,26.1,26.19,25.25,25.32,4359892
2017-05-16,25.32,25.51,25.02,25.16,4136508
2017-05-17,25.0,25.31,24.77,25.01,4067212
2017-05-18,24.86,25.27,24.73,24.74,4480874
2017-05-19,24.9,25.72,24.7,25.55,7563399
2017-05-22,25.79,25.96,25.29,25.31,3107914
2017-05-23,25.3,25.43,24.98,25.09,5634646
2017-05-24,24.89,25.01,23.94,24.14,7636362
2017-05-25,24.15,24.64,23.53,23.79,5302434
2017-05-26,23.79,24.3,23.64,24.2,5477882
2017-05-30,23.89,23.99,23.39,23.4,4722594
2017-05-31,23.08,23.42,22.98,23.06,10312466
2017-06-01,23.17,23.46,22.85,23.14,5963413
2017-06-02,22.9,23.03,21.84,22.24,8831135
2017-06-05,21.99,22.45,21.94,21.94,4594956
2017-06-06,22.0,22.6,21.84,22.53,5418575
2017-06-07,22.35,22.74,21.98,22.29,6434727
2017-06-08,22.09,22.51,21.93,22.19,5301428
2017-06-09,22.21,23.47,22.09,23.17,6462497
2017-06-12,23.47,23.8,22.83,23.18,5158690
2017-06-13,23.23,23.96,23.01,23.94,4444782
2017-06-14,23.8,23.82,22.71,23.18,6277383
2017-06-15,22.88,23.41,22.68,23.1,5140494
2017-06-16,23.25,23.56,22.98,23.38,6216232
2017-06-19,23.2,23.37,22.11,22.19,7678401
2017-06-20,21.9,22.21,21.41,22.1,6004753
2017-06-21,22.04,22.31,20.94,21.22,7217893
2017-06-22,21.29,21.61,21.11,21.43,6802298
2017-06-23,21.52,22.34,21.52,22.26,7471546
2017-06-26,22.3,23.44,22.16,22.91,7058922
2017-06-27,23.02,23.23,22.56,22.65,5886753
2017-06-28,22.73,23.19,22.5,22.85,4180578
2017-06-29,23.04,23.82,23.03,23.59,6927256
2017-06-30,23.57,23.84,23.1,23.17,5110163
2017-07-03,23.25,23.59,23.21,23.49,2745518
2017-07-05,23.3,23.3,22.1,22.17,5997033
2017-07-06,22.22,22.36,21.56,21.69,5365025
2017-07-07,21.59,21.72,21.02,21.33,4423299
2017-07-10,21.29,21.84,21.25,21.77,3980201
2017-07-11,21.88,22.44,21.59,22.14,5538243
2017-07-12,22.27,22.43,21.56,21.78,5247268
2017-07-13,21.75,22.23,21.53,22.23,4568826
2017-07-14,22.27,22.56,22.23,22.31,3841103
2017-07-17,22.32,22.86,22.32,22.49,3341685
2017-07-18,22.72,22.92,22.09,22.14,4455841
2017-07-19,22.15,22.62,22.02,22.58,6626699
2017-07-20,22.8,22.9,21.61,21.64,6533126
2017-07-21,21.6,21.78,20.9,21.01,5818051
2017-07-24,20.88,21.0,20.34,20.42,6940385
2017-07-25,20.89,22.04,20.85,21.82,8514417
2017-07-26,22.03,22.46,21.6,21.86,5171902
2017-07-27,21.82,22.27,21.6,22.22,4630653
2017-07-28,22.15,22.71,21.64,21.87,4994621
2017-07-31,,,,21.11,5529070
2017-08-01,21.03,21.1,20.23,20.3,8604825
2017-08-02,19.75,19.81,17.68,17.9,25378990
2017-08-03,17.93,18.19,17.48,17.78,11229563
2017-08-04,17.76,18.08,17.48,17.88,7402997
2017-08-07,17.73,17.91,17.22,17.35,9761770
2017-08-08,17.27,17.54,16.89,16.97,8421421
2017-08-09,16.98,17.3,16.67,16.83,10424868
2017-08-10,16.93,17.23,16.71,16.92,6870346
2017-08-11,16.75,17.01,16.5,16.81,6461280
2017-08-14,16.79,17.5,16.77,16.92,8508776
2017-08-15,16.83,17.74,16.75,17.61,9248375
2017-08-16,17.58,17.82,17.37,17.53,7003908
2017-08-17,17.47,17.96,17.44,17.46,6269022
2017-08-18,17.44,18.1,17.42,17.94,6681694
2017-08-21,17.85,17.89,17.44,17.6,5596934
2017-08-22,17.75,18.0,17.74,17.96,6119247
2017-08-23,17.89,18.44,17.68,18.38,6297247
2017-08-24,18.35,18.91,18.3,18.6,7219504
2017-08-25,18.65,18.68,18.11,18.17,5547701
2017-08-28,18.1,18.2,17.5,17.59,7521269
2017-08-29,17.41,17.53,16.95,17.4,7529267
2017-08-30,17.31,17.53,17.0,17.36,5036294
2017-08-31,17.49,17.73,17.3,17.36,5289810
2017-09-01,17.41,18.07,17.29,17.85,5403063
2017-09-05,18.0,18.46,17.81,17.95,6129183
2017-09-06,18.18,18.49,18.12,18.32,6680099
2017-09-07,18.27,18.38,17.86,17.91,4325880
2017-09-08,17.58,17.61,16.0,16.58,14350363
2017-09-11,16.59,17.19,16.55,16.97,8769089
2017-09-12,17.11,18.36,17.01,17.92,9158928
2017-09-13,18.12,18.55,18.04,18.25,6753470
2017-09-14,18.36,18.85,18.24,18.78,9914287
2017-09-15,18.73,18.8,18.37,18.54,13173710
2017-09-18,18.52,19.31,18.52,19.14,6670145
2017-09-19,19.19,19.24,18.84,19.04,5240122
2017-09-20,19.11,19.72,18.93,19.26,10247278
2017-09-21,19.03,19.12,18.59,18.8,5132304
2017-09-22,18.77,19.02,18.66,18.92,4162033
2017-09-25,19.01,19.3,18.99,19.23,7339839
2017-09-26,19.16,19.81,19.04,19.78,5029847
2017-09-27,19.82,20.42,19.76,20.41,7694329
2017-09-28,20.38,20.42,19.45,19.72,8807469
2017-09-29,19.68,19.73,19.36,19.57,5236901
2017-10-02,19.26,20.44,19.08,20.42,6103775
2017-10-03,20.34,20.58,19.88,20.0,6730064
2017-10-04,20.13,20.54,20.06,20.21,3950203
2017-10-05,20.29,20.65,20.15,20.58,6309642
2017-10-06,20.39,20.56,19.89,19.99,5996277
2017-10-09,19.99,20.03,19.65,19.73,2832571
2017-10-10,20.06,20.26,19.58,19.61,4131371
2017-10-11,20.22,20.28,19.93,20.04,775947
2017-10-12,19.77,19.93,19.33,19.8,4632260
2017-10-13,20.07,20.07,19.38,19.44,3995318
2017-10-16,19.51,19.82,19.17,19.51,5263743
2017-10-17,19.51,19.87,19.4,19.45,4404531
2017-10-18,19.42,19.72,18.95,19.0,5790970
2017-10-19,18.8,19.11,18.61,19.0,5163662
2017-10-20,18.9,19.07,18.76,18.86,3679320
2017-10-23,18.78,19.02,18.44,18.45,5217278
2017-10-24,18.61,18.82,18.31,18.59,5313382
2017-10-25,18.09,18.57,17.78,18.08,10355557
2017-10-26,18.03,18.03,17.44,17.72,8772553
2017-10-27,17.59,18.14,17.41,18.06,8712376
2017-10-30,18.22,18.26,17.83,17.95,7590915
2017-10-31,17.85,18.21,17.62,18.11,7146564
2017-11-01,18.38,18.58,18.19,18.43,7584432
2017-11-02,18.54,18.54,17.71,17.87,8991042
2017-11-03,17.88,18.28,17.67,18.13,5417986
2017-11-06,18.14,19.25,17.97,19.18,11545613
2017-11-07,19.21,19.29,18.75,18.97,10224589
2017-11-08,18.99,18.99,18.3,18.62,9038804
2017-11-09,18.6,19.05,18.45,18.9,6088457
2017-11-10,18.84,19.38,18.79,19.23,6383930
2017-11-13,19.15,19.17,18.53,18.58,5595699
2017-11-14,18.39,18.46,17.28,17.35,8683266
2017-11-15,17.19,17.22,16.88,17.08,6269033
2017-11-16,17.12,17.52,17.11,17.2,4620555
2017-11-17,17.32,18.06,17.29,18.03,7819932
2017-11-20,17.84,17.85,17.23,17.3,4072187
2017-11-21,17.45,17.7,17.12,17.18,3728766
2017-11-22,17.38,17.83,17.32,17.69,4366012
2017-11-24,17.77,17.79,17.34,17.37,2394508
